Tahun,Bulan,Stasiun,Curah Hujan (mm)
2023,1,Stasiun Meteorologi Fatmawati Soekarno,306
2023,2,Stasiun Meteorologi Fatmawati Soekarno,196
2023,3,Stasiun Meteorologi Fatmawati Soekarno,294
2023,4,Stasiun Meteorologi Fatmawati Soekarno,355
2023,5,Stasiun Meteorologi Fatmawati Soekarno,71
2023,6,Stasiun Meteorologi Fatmawati Soekarno,68
2023,7,Stasiun Meteorologi Fatmawati Soekarno,256
2023,8,Stasiun Meteorologi Fatmawati Soekarno,24
2023,9,Stasiun Meteorologi Fatmawati Soekarno,10
2023,10,Stasiun Meteorologi Fatmawati Soekarno,54
2023,11,Stasiun Meteorologi Fatmawati Soekarno,100
2023,12,Stasiun Meteorologi Fatmawati Soekarno,68
2024,1,Stasiun Meteorologi Fatmawati Soekarno,307
2024,2,Stasiun Meteorologi Fatmawati Soekarno,453
2024,3,Stasiun Meteorologi Fatmawati Soekarno,443
2024,4,Stasiun Meteorologi Fatmawati Soekarno,366
2024,5,Stasiun Meteorologi Fatmawati Soekarno,326
2024,6,Stasiun Meteorologi Fatmawati Soekarno,260
2024,7,Stasiun Meteorologi Fatmawati Soekarno,217
2024,8,Stasiun Meteorologi Fatmawati Soekarno,14
2024,9,Stasiun Meteorologi Fatmawati Soekarno,109
2024,10,Stasiun Meteorologi Fatmawati Soekarno,83
2024,11,Stasiun Meteorologi Fatmawati Soekarno,277
2024,12,Stasiun Meteorologi Fatmawati Soekarno,491
2025,1,Stasiun Meteorologi Fatmawati Soekarno,373
2025,2,Stasiun Meteorologi Fatmawati Soekarno,303
2025,3,Stasiun Meteorologi Fatmawati Soekarno,361
2025,4,Stasiun Meteorologi Fatmawati Soekarno,212
2025,5,Stasiun Meteorologi Fatmawati Soekarno,132
